title,lifetime_gross,year
Wishmaster,15738769,1997
The Island (1980),15716828,1980
Paparazzi,15714234,2004
Leviathan,15704614,1989
Once Is Not Enough,15700729,1975
High Plains Drifter,15700000,1973
The Bonfire of the Vanities,15691192,1990
Superman IV: The Quest for Peace,15681020,1987
Larry the Cable Guy: Health Inspector,15680099,2006
Life as a House,15667270,2001
Revenge,15645616,1990
The Man with the Iron Fists,15634090,2012
Cirque du Soleil: Journey of Man (IMAX),15627434,2000
Loser,15618626,2000
View from the Top,15614000,2003
Happily N'Ever After,15589393,2007
Continental Divide,15578237,1981
Half Past Dead,15567860,2002
Billy Bathgate,15565363,1991
Highlander 2: The Quickening,15556340,1991
Shackleton's Antarctic Adventure (IMAX),15553324,2001
My Boss's Daughter,15550605,2003
Switch,15545943,1991
A Guy Thing,15545431,2003
Cheech & Chong Still Smokin',15543710,1983
The Ghost Writer,15541549,2010
All the Pretty Horses,15540353,2000
In America,15539656,2003
Catch and Release,15539051,2007
A Perfect Getaway,15515460,2009
Corvette Summer,15514367,1978
Drowning Mona,15506764,2000
Legend,15502112,1986
Mad Love,15453274,1995
Youngblood,15448384,1986
Rocket Man,15448043,1997
Reversal of Fortune,15445131,1990
The Infiltrator,15436808,2016
A Kiss Before Dying,15429177,1991
African Cats,15428747,2011
Wrong Turn,15418790,2003
Mr. Destiny,15379253,1990
Spaced Invaders,15369573,1990
She-Devil,15351421,1989
No Escape,15339030,1994
The Greatest Game Ever Played,15337393,2005
Bait,15325127,2000
About Time,15322921,2013
Jackie Chan's First Strike,15318863,1997
Stephen King's Thinner,15315484,1996
Alpha Dog,15309602,2007
Bangkok Dangerous,15298133,2008
Hair,15284643,1979
Youth in Revolt,15281286,2010
Quick Change,15260154,1990
Bad Girls,15240435,1994
The Madness of King George,15238689,1994
Dungeons & Dragons,15220685,2000
First Family,15198912,1980
Needful Things,15185672,1993
The Last Exorcism Part II,15179302,2013
Grease 2,15171476,1982
The Corruptor,15164492,1999
Pure Country,15164458,1992
And So It Goes,15160801,2014
Flowers in the Attic,15151736,1987
Arthur and the Invisibles,15132763,2006
"The Goods: Live Hard, Sell Hard",15122676,2009
Big Top Pee-Wee,15122324,1988
Muriel's Wedding,15119639,1995
Halloween: The Curse of Michael Myers,15116634,1995
Shipwrecked,15104156,1991
Breakin' 2: Electric Boogaloo,15101131,1984
The Adventures of Pinocchio,15094530,1996
Ponyo,15090399,2009
The Invasion,15074191,2007
Toy Soldiers,15073942,1991
American Psycho,15070285,2000
Dead Man on Campus,15064946,1998
King Solomon's Mines,15057465,1985
Twilight (1998),15055091,1998
Wings of Courage (IMAX),15054636,1995
The Box,15051977,2009
See No Evil,15032800,2006
Killing Them Softly,15026056,2012
Seven Psychopaths,15024049,2012
More American Graffiti,15014674,1979
Judy Moody and the NOT Bummer Summer,15013650,2011
Madonna: Truth or Dare,15012935,1991
The Cave,15007991,2005
Lions for Lambs,15002854,2007
For a Few Dollars More,15000000,1967
A Beautiful Planet,14999232,2016
The Next Best Thing,14990582,2000
Solaris,14973382,2002
Baby: Secret of the Lost Legend,14972297,1985
Get Carter,14967182,2000
Child's Play 3,14960255,1991
Kiss of Death,14942422,1995
Monty Python's The Meaning of Life,14929552,1983
The Night the Lights Went Out in Georgia,14923752,1981
The Commitments,14919570,1991
Nighthawks,14905359,1981
Indian Summer,14904910,1993
Keeping Up with the Joneses,14904426,2016
Step Up All In,14904384,2014
Election,14902041,1999
Last Chance Harvey,14889042,2008
S.O.B.,14867086,1981
Music of the Heart,14859394,1999
Once Around,14851083,1991
Eve's Bayou,14842388,1997
The Substitute,14818176,1996
Threesome,14815317,1994
All I Want for Christmas,14812144,1991
I Love You Beth Cooper,14800725,2009
Ladybugs,14796494,1992
Prom Night,14796236,1980
Radio Days,14792779,1987
Not Without My Daughter,14789113,1991
The 6th Man,14772788,1997
Fire Birds,14760451,1990
My Soul to Take,14744435,2010
My Left Foot,14743391,1989
Tristan and Isolde,14734633,2006
Orca,14717854,1977
School Ties,14715067,1992
Criminal (2016),14708696,2016
Flirting with Disaster,14702438,1996
Kickboxer,14697005,1989
Iron Monkey,14694904,2001
City of Joy,14683921,1992
The Case for Christ,14682684,2017
Arthur 2: On the Rocks,14681192,1988
Room,14677654,2015
It Follows,14674076,2015
The Greek Tycoon,14672713,1978
The Secret of NIMH,14665733,1982
The Nude Bomb,14662035,1980
Educating Rita,14648076,1983
Clue,14643997,1985
Beyond the Lights,14618727,2014
My Week with Marilyn,14600347,2011
Soldier,14594226,1998
The Girl Next Door,14589444,2004
Flight of the Intruder,14587732,1991
Children of the Corn,14568989,1984
Hellraiser,14564027,1987
Wild at Heart,14560247,1990
Death on the Nile,14560084,1978
The Chamber,14551359,1996
School Daze,14545844,1988
The Vanishing,14543394,1993
To the Arctic (IMAX),14531294,2012
Everyone's Hero,14523101,2006
Excess Baggage,14515490,1997
"Oh, God! Book II",14504277,1980
Maximum Risk,14502483,1996
Paint Your Wagon,14500000,1969
A Fistful of Dollars,14500000,1967
Rich and Famous,14492125,1981
Big Eyes,14482031,2014
Psycho III,14481606,1986
In Love and War,14481231,1996
Welcome to Mooseport,14470947,2004
"Life, or Something Like It",14448589,2002
"Hello, My Name is Doris",14444999,2016
America (2014),14444502,2014
American Ultra,14440985,2015
The Edge of Seventeen,14431633,2016
Hollywoodland,14426251,2006
Night of the Comet,14418922,1984
Snow Falling on Cedars,14417593,1999
Tea with Mussolini,14401563,1999
Halloween III: Season of the Witch,14400000,1982
Woodlawn,14394097,2015
Remo Williams: The Adventure Begins,14393902,1985
Godsend,14379751,2004
Dark City,14378331,1998
Awake,14377198,2007
Ishtar,14375181,1987
The Buddy Holly Story,14363400,1978
Capitalism: A Love Story,14363397,2009
Memoirs of an Invisible Man,14358033,1992
Rapid Fire,14356479,1992
Friday the 13th Part VIII,14343976,1989
Lockout,14326864,2012
Ballistic: Ecks vs. Sever,14307963,2002
The Mosquito Coast,14302779,1986
Wish Upon,14301505,2017
Supergirl,14296438,1984
The Competition,14287755,1980
The Wizard,14278900,1989
The Messenger: The Story of Joan of Arc,14276317,1999
Josie and the Pussycats,14271015,2001
Ice Pirates,14255801,1984
Freddy Got Fingered,14254993,2001
Amelia,14245415,2009
Return of the Living Dead,14237880,1985
Supernova,14230455,2000
Scanners (1981),14225876,1981
Alex and Emma,14218698,2003
Sweet Liberty,14205021,1986
A Chorus Line,14202899,1985
The Eiger Sanction,14200000,1975
How to Deal,14195227,2003
Disaster Movie,14190901,2008
Soul Plane,14190750,2004
Prince of Darkness,14182492,1987
Dirty Dancing: Havana Nights,14161590,2004
Wholly Moses,14155617,1980
Ernest Scared Stupid,14143280,1991
Spring Breakers,14124284,2013
The Emperor's Club,14118751,2002
Poltergeist III,14114488,1988
Cool World,14110589,1992
Dragonslayer,14110013,1981
Tomboy,14100000,1985
Diner,14099953,1982
Les Miserables (1998),14096321,1998
New York Minute,14071441,2004
The Arrival,14063331,1996
The Perfect Weapon,14061361,1991
Fairy Tale: A True Story,14059077,1997
The Beastmaster,14056528,1982
Blues Brothers 2000,14051384,1998
Private School,14049540,1983
Stealing Harvard,14036406,2002
Virus,14036005,1999
Left Behind (2014),14019924,2014
The Good Girl,14018296,2002
Love & Friendship,14016568,2016
In Too Deep,14011454,1999
What's Your Number?,14011084,2011
Def Jam's How to Be a Player,14009368,1997
Creepshow 2,14000000,1987
On a Clear Day You Can See Forever,14000000,1970
The Survivors,14000000,1983
Missing,14000000,1982
Stand and Deliver,13994920,1988
The Lord of the Flies,13985225,1990
It Comes At Night,13985117,2017
Follow That Bird (Sesame St.),13961370,1985
Jackie,13960394,2016
Candyman: Farewell to the Flesh,13940383,1995
Hot Rod,13938332,2007
Firehouse Dog,13932383,2007
Out Cold,13906394,2001
The Deep End of the Ocean,13898649,1999
Monsoon Wedding,13885966,2002
Drop Dead Fred,13878334,1991
Born in China,13873211,2017
Cirque du Freak: The Vampire's Assistant,13869515,2009
RBG,13861078,2018
My Stepmother is an Alien,13854000,1988
The Duchess,13848978,2008
One Day,13843771,2011
Y Tu Mama Tambien,13839658,2002
Hamburger Hill,13839404,1987
The Milagro Beanfield War,13825794,1988
Fly Me to the Moon,13816982,2008
Desperate Measures,13806137,1998
Repo Men,13794835,2010
Labyrinth,13758362,1986
Frank Miller's Sin City: A Dame to Kill For,13757804,2014
Letters from Iwo Jima,13756082,2006
Hit and Run,13749300,2012
Broken Flowers,13744960,2005
Great Balls of Fire!,13741060,1989
The Tailor of Panama,13729742,2001
Hey Arnold! The Movie,13728902,2002
The Man Who Knew Too Little,13717039,1997
The Wings of the Dove,13692848,1997
Return to Snowy River,13687027,1988
Crank: High Voltage,13684249,2009
Nixon,13681765,1995
One Magic Christmas,13677222,1985
Juwanna Mann,13670733,2002
The Pagemaster,13670688,1994
Vice Versa,13664060,1988
Warrior,13657115,2011
Burnt,13651946,2015
Haunted Castle (IMAX),13651656,2001
Crooklyn,13642861,1994
The Ladies Man,13616610,2000
The Crush,13609396,1993
Trial and Error,13602831,1997
Osmosis Jones,13596911,2001
Hush,13583690,1998
The Little Vampire,13572400,2000
The Namesake,13569248,2007
Envy,13562325,2004
The Haunting of Molly Hartley,13559812,2008
Tomcats,13558739,2001
Shaun of the Dead,13542874,2004
The Gate,13539458,1987
Africa's Elephant Kingdom (IMAX),13485455,1998
De-Lovely,13456633,2004
The Grifters,13446769,1990
One Crazy Summer,13431806,1986
Bio-Dome,13427615,1996
Extremities,13418091,1986
Secrets & Lies,13417292,1996
Dredd,13414714,2012
Megan Leavey,13406883,2017
A Kid in King Arthur's Court,13406717,1995
Solarmax,13400161,2000
Alfie,13399812,2004
One Night with the King,13395961,2006
Bullets Over Broadway,13383747,1994
Labor Day,13371528,2014
Friends with Money,13368437,2006
Ghost Town,13367624,2008
Mr. Saturday Night,13351357,1992
The Comebacks,13349927,2007
American Outlaws,13342790,2001
Ghosts of Mississippi,13323144,1996
Sugar & Spice,13305101,2001
The Tree of Life,13303319,2011
Getting Straight,13300000,1970
The Adventures of Milo and Otis,13299749,1989
Lord of Illusions,13294422,1995
The Pick-Up Artist,13290368,1987
The Entity,13277558,1983
Body of Evidence,13273595,1993
Class Act,13272113,1992
The Mod Squad,13263993,1999
Case 39,13261851,2010
Visiting Hours,13258670,1982
fear dot com,13258249,2002
Roller Boogie,13253715,1979
Vice Squad,13253583,1982
Trespass,13249535,1992
Crazy People,13236513,1990
Inside Llewyn Davis,13235319,2013
Daddy Day Camp,13235267,2007
Enchanted April,13200170,1992
Revenge of the Ninja,13168027,1983
Critters,13167232,1986
Greedy,13137484,1994
Rosewood,13130349,1997
Jason X,13121555,2002
Dr. T and the Women,13113041,2000
Author! Author!,13111101,1982
Back to the Beach,13110903,1987
Frailty,13110448,2002
The Rum Diary,13109815,2011
Playing for Keeps,13102272,2012
The Evil That Men Do,13102025,1984
Hillary's America: The Secret History of the Democratic Party,13099931,2016
Whiplash,13092000,2014
Flyboys,13090630,2006
American Me,13086430,1992
Cat's Eye,13086298,1985
25th Hour,13084595,2002
Clockers,13071518,1995
The Big Fix,13062708,1978
Whip It,13043363,2009
Angela's Ashes,13042112,1999
How to Eat Fried Worms,13040527,2006
House of Sand and Fog,13040288,2003
To Be or Not to Be (1983),13030214,1983
I'm Gonna Git You Sucka,13030057,1988
The Great Train Robbery,13027857,1979
The Crew,13023075,2000
The Concorde: Airport '79,13015688,1979
Religulous,13011160,2008
They Live,13008928,1988
Wicker Park,13001257,2004
Stroker Ace,13000000,1983
Vision Quest,12993175,1985
The Quiet American,12988801,2002
Do You Believe?,12985600,2015
The Pirates Who Don't Do Anything,12981269,2008
Man's Best Friend,12974636,1993
Real Genius,12952019,1985
Black Dog,12951088,1998
April Fool's Day,12947763,1986
Perfect,12918858,1985
Living Out Loud,12905901,1998
Volver,12899867,2006
A Far Off Place,12890752,1993
Gods and Generals,12882934,2003
Senseless,12874899,1998
True Confessions,12850276,1981
The Associate,12844057,1996
The Honeymooners,12843849,2005
Wes Craven Presents: They,12840842,2002
Last Married Couple in America,12835544,1980
Mr. Wrong,12825141,1996
Anna Karenina,12816367,2012
Highlander: Endgame,12811858,2000
Shoot 'Em Up,12807139,2007
Marvin's Room,12803305,1996
Rachel Getting Married,12796841,2008
Beasts of the Southern Wild,12795746,2012
Mystic Pizza,12793213,1988
The Founder,12786053,2017
I Heart Huckabees,12785432,2004
The Evening Star,12767815,1996
Undisputed,12764657,2002
Silent House,12754783,2012
Weekend at Bernie's II,12741891,1993
Atlantic City,12729675,1981
Mr. Nice Guy,12716953,1998
The New World,12712093,2005
Carol,12711491,2015
D.O.A.,12706478,1988
"Bon Cop, Bad Cop",12665721,2006
The Spitfire Grill,12658486,1996
The Bedroom Window,12640385,1987
Triple 9,12639297,2016
Battle of the Sexes,12638526,2017
Everybody's All-American,12638294,1988
"House of 1,000 Corpses",12634962,2003
Bad Influence,12626043,1990
The Legend of the Lone Ranger,12617845,1981
The Omega Code,12614346,1999
Winter's Tale,12600231,2014
The Matador,12594698,2005
Under the Same Moon,12590147,2008
An Education,12574914,2009
Idlewild,12571185,2006
Love & Mercy,12551031,2015
I Think I Love My Wife,12550605,2007
The Light Between Oceans,12545979,2016
Hellraiser III: Hell on Earth,12534961,1992
Amityville II: The Possession,12534817,1982
Gattaca,12532777,1997
Compromising Positions,12531831,1985
Judgment Night,12526677,1993
Freedomland,12512886,2006
Cirque Du Soleil: Worlds Away,12512862,2012
Black Mask,12504289,1999
Evening,12492481,2007
The French Connection 2,12484444,1975
The Weather Man,12482775,2005
Eighth Grade,12480476,2018
First Monday in October,12480249,1981
Love Jones,12479335,1997
Extreme (IMAX),12475172,1999
Why Do Fools Fall in Love?,12461773,1998
The Marrying Man,12454768,1991
Vanishing Point,12442673,1971
Life with Mikey,12440858,1993
People Like Us,12434778,2012
Strange Magic,12429583,2015
The Fourth Protocol,12423831,1987
Irreconcilable Differences,12414210,1984
Lone Star,12408986,1996
Monsignor,12408066,1982
Cinema Paradiso,12397210,1990
Less Than Zero,12396383,1987
Ready to Rumble,12394327,2000
Dangal,12391761,2016
The Darkest Minds,12389035,2018
The Postman Always Rings Twice,12376625,1981
A Shot in the Dark,12368234,1964
Silver Bullet,12361866,1985
Escape from the Planet of the Apes,12348905,1971
Undercover Blues,12324660,1993
Hot Tub Time Machine 2,12314651,2015
Miss Pettigrew Lives for a Day,12313694,2008
Club Paradise,12308521,1986
No Mercy,12303904,1986
Enemy Mine,12303411,1985
Highlander 3: The Final Dimension,12303080,1995
A Stranger Among Us,12282994,1992
True Romance,12281551,1993
Self/Less,12279691,2015
Casual Sex?,12277096,1988
Little Big League,12267790,1994
Breakin' All the Rules,12264319,2004
Confidence,12251640,2003
Before I Fall,12241122,2017
Far from the Madding Crowd,12236500,2015
12 Rounds,12234694,2009
Lone Wolf McQuade,12232628,1983
The 33,12227722,2015
Barney's Great Adventure,12218638,1998
I'll Be Home for Christmas,12214338,1998
Hideaway,12201255,1995
Family Business,12195695,1989
Chasing Liberty,12195626,2004
Saving Grace,12178602,2000
Dreamscape,12145169,1984
Pink Cadillac,12143484,1989
Let Me In,12134935,2010
Roommates,12096881,1995
"Bye Bye, Love",12096673,1995
Foxcatcher,12096300,2014
Hellbound: Hellraiser II,12090735,1988
Soul Men,12082391,2008
Holy Man,12069719,1998
Extraordinary Measures,12068313,2010
She's Out of Control,12065892,1989
Sunshine Cleaning,12062558,2009
The Last Stand,12050299,2013
The Black Stallion Returns,12049108,1983
Fatal Beauty,12046526,1987
The Protector (2006),12044087,2006
Chasing Amy,12021272,1997
In Dreams,12017369,1999
The Gift,12008642,2000
Big Night,12008376,1996
Blow Out,12000000,1981
Comin' at Ya!,12000000,1981
The Sword in the Stone (Re-issue),12000000,1983
The King and I (1999),11993021,1999
Zoom,11989328,2006
Phantasm,11988469,1979
End of the Spear,11967000,2006
Sorority Row,11965282,2009
"Roman J. Israel, Esq.",11962778,2017
Brighton Beach Memoirs,11957943,1986
Firewalker,11949484,1986
Deathstalker,11919250,1983
The Thirteenth Floor,11916661,1999
Upgrade,11916615,2018
The Darjeeling Limited,11902715,2007
Making Love,11897978,1982
Sydney White,11892415,2007
Glee The 3D Concert Movie,11862398,2011
Padmaavat,11846060,2018
Sliding Doors,11841544,1998
Tales from the Hood,11837928,1995
Alaska,11829959,1996
The Cookout,11814019,2004
Back Roads,11809387,1981
Bloodsport,11806119,1988
Meet Dave,11803254,2008
3 Ninjas Kick Back,11798854,1994
Zelig,11798616,1983
Caddyshack II,11798302,1988
The Lords of Discipline,11787127,1983
Strictly Ballroom,11738022,1993
Dave Chappelle's Block Party,11718595,2006
Knockaround Guys,11715637,2002
Used Cars,11715321,1980
Up the Creek,11708269,1984
Winged Migration,11689053,2003
Fifty Shades of Black,11686940,2016
The Adventures of Elmo in Grouchland,11683047,1999
Gone,11682205,2012
Girl with a Pearl Earring,11670971,2003
Surviving Christmas,11663156,2004
Rock-A-Doodle,11657385,1992
Far From Home: The Adventures of Yellow Dog,11642946,1995
Halloween 5,11642254,1989
The Muse,11614954,1999
The Last Kiss (2006),11614790,2006
The Promise,11606005,1979
Gross Anatomy,11604598,1989
Lifeforce,11603545,1985
So I Married an Axe Murderer,11585483,1993
Graveyard Shift,11582891,1990
Wing Commander,11578059,1999
Get Over It,11576464,2001
Henry & June,11567449,1990
Police Academy 6: City Under Siege,11567217,1989
The Other Side of the Mountain Part II,11565678,1978
The Legend of Drunken Master,11555430,2000
Pump Up the Volume,11541758,1990
Boys Don't Cry,11540607,1999
Turbulence,11538235,1997
The Conspirator,11538204,2011
The Longshots,11537046,2008
Young Einstein,11536599,1989
Super Size Me,11536423,2004
Fair Game (1995),11534477,1995
Just One of the Guys,11528900,1985
No Manches Frida,11528613,2016
Mulholland Falls,11526099,1996
Shattered,11511031,1991
Army of Darkness,11502976,1993
The Words,11494838,2012
Thief,11492915,1981
The River,11489982,1984
Das Boot,11487676,1982
The Beautician and the Beast,11486880,1997
Something New,11468568,2006
Material Girls,11449638,2006
Moon Over Parador,11444204,1988
The Ref,11439193,1994
Double Team,11438337,1997
The Shipping News,11434216,2001
The Powerpuff Girls Movie,11412414,2002
Cops and Robbersons,11391093,1994
Jennifer 8,11390479,1992
The Seduction,11378339,1982
Thumbelina,11373501,1994
Unforgettable (2017),11368012,2017
The Legacy,11364985,1979
Opportunity Knocks,11359129,1990
Balto,11348324,1995
Career Opportunities,11336986,1991
Manhattan Murder Mystery,11330911,1993
Out of the Furnace,11330849,2013
Antitrust,11328094,2001
Extreme Prejudice,11307844,1987
Casanova,11304403,2005
Tank,11302884,1984
Ready to Wear,11300653,1994
Who's the Man?,11299730,1993
The Lives of Others,11286112,2007
One Good Cop,11276846,1991
Lords of Dogtown,11273517,2005
Chill Factor,11263966,1999
Brotherhood of the Wolf,11260096,2002
Cyberworld 3-D (IMAX),11253900,2000
Spirited Away,11252650,2002
Bobby,11242801,2006
Jane Eyre,11242660,2011
Island of Lemurs: Madagascar (IMAX),11242362,2014
The Smurfs and the Magic Flute,11234220,1983
"The Adventures of Priscilla, Queen of the Desert",11220670,1994
Q & A,11207891,1990
Deep Rising,11203026,1998
"Be Kind, Rewind",11175164,2008
For Love or Money,11146270,1993
Return to Oz,11137801,1985
Three Identical Strangers,11136936,2018
2 Days in the Valley,11132210,1996
Falling in Love,11129057,1984
V.I. Warshawski,11128309,1991
Whispers in the Dark,11124511,1992
The Danish Girl,11114018,2015
Hard to Hold,11113806,1984
Cafe Society,11103205,2016
Big Trouble in Little China,11100000,1986
Ragtime,11099118,1981
Michael Collins,11092559,1996
Mad Dog and Glory,11081586,1993
My Family,11079373,1995
Wild Orchid,11060485,1990
In the Land of Women,11052958,2007
Krush Groove,11052713,1985
House of Flying Daggers,11050094,2004
Mrs. Henderson Presents,11036366,2005
The Wild Life,11020375,1984
Doomsday,11008770,2008
The Couch Trip,11005304,1988
The Astronaut Farmer,11003643,2007
The Young Victoria,11001272,2009
The Super,11000863,1991
The Mirror Crack'd,11000000,1980
The Last Flight of Noah's Ark,11000000,1980
"Give 'Em Hell, Harry!",11000000,1975
Hang 'em High,11000000,1968
Adrenaline Rush: The Science of Risk (IMAX),10994028,2002
Who's Harry Crumb?,10982364,1989
Dragon Wars,10977721,2007
The Man Who Loved Women,10964231,1983
Moment by Moment,10963824,1978
Nuns on the Run,10959015,1990
What the #$*! Do We Know?!,10942306,2004
Pride and Prejudice and Zombies,10938134,2016
Leave It to Beaver,10925060,1997
Cookie's Fortune,10920544,1999
Stop-Loss,10915744,2008
The Englishman Who Went Up a Hill But Came Down a Mountain,10904930,1995
Dead Man Down,10895295,2013
The Pink Panther (1964),10878107,1964
Narrow Margin,10873237,1990
Victory,10853418,1981
Rollover,10851261,1981
The End of the Affair,10827816,1999
Office Space,10827810,1999
Extract,10823158,2009
Moving,10815378,1988
Gotcha!,10806919,1985
Dracula: Dead and Loving It,10772144,1995
Gettysburg,10769960,1993
New York Stories,10763469,1989
Missing in Action II: The Beginning,10755447,1985
The Darkness,10753574,2016
Stay Tuned,10736401,1992
Abandon,10727683,2002
Belle,10726630,2014
Glengarry Glen Ross,10725228,1992
The Drop,10724389,2014
Drive Angry,10721033,2011
The Beguiled (2017),10709995,2017
The Fiendish Plot of Dr. Fu Manchu,10697276,1980
Robocop 3,10696210,1993
Deconstructing Harry,10686841,1997
Fear and Loathing in Las Vegas,10680275,1998
Hercules (1983),10676194,1983
The Astronaut's Wife,10672566,1999
Universal Soldier: The Return,10667893,1999
The Gunman,10664749,2015
Nocturnal Animals,10663357,2016
Island of the Sharks (IMAX),10658505,1999
Two If by Sea,10658278,1996
The Package,10647219,1989
The Purple Rose of Cairo,10631333,1985
Moving Violations,10627754,1985
Wolfen,10626725,1981
P.K.,10616104,2014
The Dark Half,10611160,1993
After Hours,10609321,1985
The House on Sorority Row,10604986,1983
Broadway Danny Rose,10600497,1984
Play Misty for Me,10600000,1971
Beautiful Girls,10597759,1996
Primeval,10597734,2007
Not Easily Broken,10572742,2009
Drop Dead Gorgeous,10571408,1999
Three to Tango,10570375,1999
Husbands and Wives,10555619,1992
We're No Angels,10555348,1989
Jonah Hex,10547117,2010
Mad City,10541523,1997
Magic in the Moonlight,10539326,2014
Where the Boys Are (1984),10530000,1984
Scoop,10525717,2006
Here on Earth,10522168,2000
Sabotage (2014),10508518,2014
Getaway (2013),10501938,2013
American Ninja,10499694,1985
Iron Eagle II,10497324,1988
Silent Rage,10490791,1982
Light of Day,10489617,1987
Camp Nowhere,10475705,1994
Narc,10465659,2002
Home Fries,10459961,1998
The Newton Boys,10452012,1998
A Rage in Harlem,10438504,1991
Thief of Hearts,10435015,1984
Interiors,10432366,1978
Moms' Night Out,10429707,2014
The Brothers McMullen,10426506,1995
I'll Do Anything,10424645,1994
Head Over Heels,10424470,2001
Savannah Smiles,10413170,1982
Raise Your Voice,10411980,2004
Roving Mars (IMAX),10407978,2006
Operation Condor,10405394,1997
Fiddler on the Roof,10404330,1971
The Perfect Score,10391003,2004
Stardust Memories,10389003,1980
The Scarlet Letter,10382407,1995
Live By Night,10378555,2016
Doctor Detroit,10375893,1983
Deal of the Century,10369581,1983
U2 3D,10363341,2008
The Witches,10360553,1990
The Man with Two Brains,10353438,1983
Disorderlies,10348437,1987
Look Who's Talking Now,10340263,1993
Pandorum,10330853,2009
Straw Dogs (2011),10324441,2011
Knock Off,10319915,1998
I Got the Hook-Up!,10317779,1998
La Vie en Rose,10301706,2007
Better Off Dead,10297601,1985
White Squall,10292300,1996
Shopgirl,10284523,2005
The Year of Living Dangerously,10278575,1983
Someone to Watch Over Me,10278549,1987
Whiteout,10275638,2009
The Boondock Saints II: All Saints Day,10273188,2009
Santa Vs. the Snowman (IMAX),10259134,2002
Kinsey,10254979,2004
House of the Dead,10249719,2003
Pathfinder: Legend of the Ghost Warrior,10232081,2007
The Miracle Season,10230620,2018
Air Bud: Golden Receiver,10224116,1998
In the Mix,10223896,2005
Unfinished Business,10219501,2015
Brainstorm,10219460,1983
Sorority Boys,10200032,2002
The Intouchables (U.S.-only),10198820,2012
You So Crazy,10184701,1994
Win Win,10179275,2011
Lost in America,10179000,1985
Facing the Giants,10178331,2006
Lovesick,10171304,1983
Domino,10169202,2005
The Great Raid,10167373,2005
The Belko Experiment,10166820,2017
Cyborg,10166459,1989
Sunset Park,10163782,1996
Henry V,10161099,1989
Bats,10155690,1999
The Fountain,10144010,2006
Hoodwinked Too! Hood vs. Evil,10143779,2011
The Walk,10137502,2015
Prom,10130219,2011
Swimming Pool,10130108,2003
A Family Thing,10125417,1996
Brokedown Palace,10115013,1999
Possession (2002),10113733,2002
Buddy,10113400,1997
The Wash,10097538,2001
The Girl with the Dragon Tattoo,10095170,2010
Under the Cherry Moon,10090429,1986
Pulse: A Stomp Odyssey (IMAX),10086514,2002
Mrs. Winterbourne,10082005,1996
Shakedown,10068039,1988
Boiling Point,10058318,1993
National Lampoon's Class Reunion,10054150,1982
Marshall,10051659,2017
Cry Wolf,10047674,2005
Lucky Numbers,10042516,2000
Godzilla 2000,10037390,2000
What's Eating Gilbert Grape,10032765,1993
Next Day Air,10027047,2009
Dirty Work,10023282,1998
The Lady in the Van,10021175,2015
Hope and Glory,10021120,1987
The Happytime Murders,10020000,2018
Cutthroat Island,10017322,1995
A Little Princess,10015449,1995
Penelope,10011996,2008
BRATZ,10010209,2007
The Unbearable Lightness of Being,10006806,1988
The Two Jakes,10005969,1990
Terror in the Aisles,10004817,1984
The Hollywood Knights,10000000,1980
Once Bitten,10000000,1985
Nashville,9984123,1975
Lassie,9979683,1994
Criminal Law,9974446,1989
Dudley Do-Right,9974410,1999
Murphy's Law,9947631,1986
Brazil,9929135,1985
Immortal Beloved,9914409,1994
Straight Time,9900000,1978
Very Bad Things,9898412,1998
The Onion Field,9890597,1979
Night Falls on Manhattan,9889670,1997
Miami Blues,9888167,1990
Explorers,9873044,1985
Dunston Checks In,9871065,1996
Serial,9870727,1980
Maid to Order,9868521,1987
Jade,9851610,1995
La Grande Seduction,9844180,2003
3 Strikes,9832166,2000
Hanky Panky,9823934,1982
"He Said, She Said",9804775,1991
Bad Dreams,9797098,1988
The Express,9793406,2008
The Swan Princess,9771658,1994
Everyone Says I Love You,9759200,1996
The Hidden,9747988,1987
Amos & Andrew,9745803,1993
Rendition,9736045,2007
Cloak and Dagger,9719952,1984
Somewhere in Time,9709597,1980
Flesh and Bone,9709451,1993
The Journey of Natty Gann,9708373,1985
Blue Valentine,9706328,2010
Space Camp,9697739,1986
Duplex,9692135,2003
The Butcher's Wife,9689816,1991
Simone,9688676,2002
The Baby-Sitters Club,9685976,1995
The Perfect Match,9669521,2016
I Don't Know How She Does It,9662284,2011
Country,9640000,1984
Belly,9639390,1998
Popstar: Never Stop Never Stopping,9639125,2016
Without a Trace,9632062,1983
Digimon: The Movie,9631153,2000
Wrongfully Accused,9623329,1998
Comes a Horseman,9585769,1978
The Spanish Prisoner,9584314,1998
Carbon Copy,9566593,1981
Scenes From a Mall,9563393,1991
Midnight Sun,9561064,2018
Fair Game (2010),9540691,2010
She's the One,9538948,1996
Thank You for Your Service (2017),9536300,2017
Death Sentence,9534258,2007
Matinee,9532895,1993
From the Hip,9518342,1987
Smart People,9511289,2008
Shall We Dance?,9499091,1997
The Red Violin,9495408,1998
Chaplin,9493259,1992
Bullet to the Head,9489829,2013
Guilty by Suspicion,9480198,1991
Away We Go,9451946,2009
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,9440272,1964
Once,9439923,2007
Sleepover,9436390,2004
The Visitor,9427089,2008
Rock Dog,9420546,2017
Village of the Damned,9418365,1995
Fun Size,9409538,2012
Angie,9398308,1994
Black Snake Moan,9396870,2007
Fierce Creatures,9381260,1997
Tuff Turf,9369329,1985
